INFO 2025-10-21 07:25:50,586 autoreload 30596 35496 Watching for file changes with StatReloader
INFO 2025-10-21 07:50:38,924 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:50:38,994 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:50:39,021 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:51:22,330 basehttp 8716 38204 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:51:22,344 basehttp 8716 38204 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:51:22,438 basehttp 8716 38204 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:51:22,451 basehttp 8716 27800 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:51:22,461 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:51:22,489 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:51:22,554 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:51:22,576 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:51:46,014 basehttp 8716 27800 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:51:46,027 basehttp 8716 27800 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:51:46,131 basehttp 8716 27800 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:51:46,138 basehttp 8716 38204 "OPTIONS /api/users/users/ HTTP/1.1" 200 0
INFO 2025-10-21 07:51:46,154 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:51:46,165 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:51:46,229 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:51:46,253 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:52:22,185 basehttp 8716 27800 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:52:22,214 basehttp 8716 27800 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:52:44,626 basehttp 8716 27800 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:52:44,642 basehttp 8716 27800 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:53:15,841 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:53:15,857 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:53:16,088 basehttp 8716 28260 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:53:16,116 basehttp 8716 28260 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:53:16,271 basehttp 8716 38204 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:53:16,289 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:53:16,343 basehttp 8716 28260 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:53:16,363 basehttp 8716 37116 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:54:34,975 basehttp 8716 27800 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:54:34,996 basehttp 8716 38204 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:54:35,012 basehttp 8716 27800 "GET /api/courses/departments/ HTTP/1.1" 200 830
